,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,genres1
0,tt0065913,movie,The Garden of Delights,El jardín de las delicias,0,1970,95,Drama,6.6,472,Drama
1,tt11957450,movie,Blinders,Blinders,0,2020,90,Thriller,7.3,24,Thriller
4,tt2649366,movie,Punishment,Punishment,0,2013,117,Thriller,2.9,72,Thriller
15,tt3243196,movie,The Righteous Thief,The Righteous Thief,0,2009,117,"Action,Adventure,Crime",6.2,104,Action
17,tt7475006,movie,Main Tumhare Bachche ki Maa Banne Waali Hoon,Main Tumhare Bachche ki Maa Banne Waali Hoon,0,2017,45,Romance,6.8,101,Romance
25,tt5618692,movie,Cardinals,Cardinals,0,2017,84,"Crime,Drama,Thriller",5.6,316,Crime
28,tt1305838,movie,Abbot's Approach,Abbot's Approach,0,2000,65,"Crime,Drama,Horror",6.4,8,Crime
30,tt3254710,movie,White Walls Say Nothing,White Walls Say Nothing,0,2017,70,Documentary,7.5,13,Documentary
31,tt11772576,movie,Biscoth,Biscoth,0,2020,106,Comedy,5.0,233,Comedy
34,tt0062980,movie,Fleshpot on 42nd Street,Fleshpot on 42nd Street,0,1973,87,Drama,5.6,336,Drama
36,tt0026280,movie,Divine,Divine,0,1935,82,"Comedy,Drama",6.4,123,Comedy
43,tt7244730,movie,En tránsito,En tránsito,0,2017,65,Documentary,8.7,20,Documentary
49,tt10169754,movie,E Ee,E Ee,0,2017,148,"Drama,Romance",7.1,30,Drama
54,tt1160704,movie,"Alieno, l'uomo del futuro","Alieno, l'uomo del futuro",0,2007,94,Drama,3.5,15,Drama
70,tt0008195,movie,The Little Pirate,The Little Pirate,0,1917,50,"Adventure,Family",4.0,6,Adventure
74,tt0054444,movie,El violetero,El violetero,0,1960,83,Comedy,7.3,52,Comedy
76,tt0122136,movie,Black Cat,Yabu no naka no kuroneko,0,1968,99,"Drama,Horror",7.7,6284,Drama
80,tt2771054,movie,Siginti,Siginti,0,1974,79,Drama,6.6,10,Drama
