,MovieRating,DirectorRating,MovieTitle,startYear,class,scaledVotes,decade,Directors
0,5.4,5.9,The Arab,1915,Movie Rating < Director Rating,1.0013583235293793,1910,Cecil B. DeMille
1,6.4,5.9,The Golden Chance,1915,Movie Rating > Director Rating,1.0103232588232816,1910,Cecil B. DeMille
2,5.6,5.8,Martyrs of the Alamo,1915,Movie Rating < Director Rating,1.0073892799998223,1910,Christy Cabanne
3,6.1,5.8,Diane of the Follies,1916,Movie Rating > Director Rating,1.0026623141175832,1910,Christy Cabanne
4,5.3,5.8,Empty Hands,1924,Movie Rating < Director Rating,1.0005976623529271,1920,Victor Fleming
5,7.0,6.85,Professor Petersens Plejebørn,1924,Movie Rating > Director Rating,1.0003259976470509,1920,Lau Lauritzen
6,6.7,5.066666666666666,The Conquering Power,1921,Movie Rating > Director Rating,1.0227655023523945,1920,Rex Ingram
7,6.4,5.8,The Way of All Flesh,1927,Movie Rating > Director Rating,1.0072806141174722,1920,Victor Fleming
8,5.7,5.8,Mama's Affair,1921,Movie Rating < Director Rating,1.0007063282352768,1920,Victor Fleming
9,6.5,6.15,Blood and Sand,1922,Movie Rating > Director Rating,1.067427179998381,1920,Dorothy Arzner
10,6.3,7.3000000000000025,Der var engang,1922,Movie Rating < Director Rating,1.0186905317642572,1920,Carl Theodor Dreyer
11,5.1,5.4,Alias the Lone Wolf,1927,Movie Rating < Director Rating,1.0003803305882262,1920,Edward H. Griffith
12,6.7,6.85,Ole Opfinders offer,1924,Movie Rating < Director Rating,1.0003803305882262,1920,Lau Lauritzen
13,6.7,6.166666666666668,Our Dancing Daughters,1928,Movie Rating > Director Rating,1.082477404703902,1920,Harry Beaumont
14,8.2,8.149999999999999,The Gold Rush,1925,Movie Rating > Director Rating,6.406236312811375,1920,Charles Chaplin
15,7.2,7.1,Sunrise,1926,Movie Rating > Director Rating,1.0107579223526828,1920,Raymond Longford
16,4.6,5.066666666666666,Shore Acres,1920,Movie Rating < Director Rating,1.0002716647058758,1920,Rex Ingram
17,3.9,5.066666666666666,Under Crimson Skies,1920,Movie Rating < Director Rating,1.000651995294102,1920,Rex Ingram
18,5.8,5.8000000000000025,A Lawman Is Born,1937,Movie Rating < Director Rating,1.0030969776469845,1930,Sam Newfield
19,4.8,5.8000000000000025,Trails of the Wild,1935,Movie Rating < Director Rating,1.0011409917646783,1930,Sam Newfield
20,6.4,6.7,La foule hurle,1932,Movie Rating < Director Rating,1.0017386541176052,1930,Howard Hawks
21,5.7,6.400000000000001,One Man Law,1932,Movie Rating < Director Rating,1.0013583235293793,1930,Lambert Hillyer
22,6.3,6.133333333333333,Slim,1937,Movie Rating > Director Rating,1.01955985882306,1930,Ray Enright
23,5.4,6.65,Born Reckless,1930,Movie Rating < Director Rating,1.0178212047054545,1930,John Ford
24,4.7,5.6,Frontier Justice,1935,Movie Rating < Director Rating,1.0027709799999334,1930,Robert F. McGowan
25,6.1,5.9499999999999975,King of the Damned,1935,Movie Rating > Director Rating,1.0028796458822835,1930,Walter Forde
26,6.6,7.05,The Black Mask,1935,Movie Rating < Director Rating,1.0011953247058536,1930,Ralph Ince
27,7.2,6.25,Men in Her Life,1931,Movie Rating > Director Rating,1.0015756552940798,1930,William Beaudine
28,5.6,5.65,Cipher Bureau,1938,Movie Rating < Director Rating,1.0017386541176052,1930,Charles Lamont
29,7.5,7.05,Murder at Monte Carlo,1935,Movie Rating > Director Rating,1.0015213223529047,1930,Ralph Ince
30,4.6,5.05,Die Pfingstorgel,1938,Movie Rating < Director Rating,1.0002716647058758,1930,Franz Seitz
31,7.0,6.5,Millions,1937,Movie Rating > Director Rating,1.0011953247058536,1930,Leslie S. Hiscott
32,6.6,6.9499999999999975,Pennies from Heaven,1936,Movie Rating < Director Rating,1.0331430941168511,1930,Norman Z. McLeod
33,7.1,6.62,A Slight Case of Murder,1938,Movie Rating > Director Rating,1.1054059058798222,1930,Lloyd Bacon
34,6.1,5.6,I'll Tell the World,1934,Movie Rating > Director Rating,1.002988311764634,1930,Edward Sedgwick
35,6.8,6.5,Black Coffee,1931,Movie Rating > Director Rating,1.0005976623529271,1930,Leslie S. Hiscott
36,3.3,5.675,Thrill of Youth,1932,Movie Rating < Director Rating,1.0003259976470509,1930,Richard Thorpe
37,5.7,6.0500000000000025,Tout pour l'amour,1933,Movie Rating < Director Rating,1.0023906494117074,1930,Joe May
38,6.7,6.35,Hollywood Boulevard,1936,Movie Rating > Director Rating,1.0040749705881375,1930,Robert Florey
39,5.1,5.6,Riding on Air,1937,Movie Rating < Director Rating,1.0058136247057428,1930,Edward Sedgwick
40,6.4,6.6,Sacrifice d'honneur,1935,Movie Rating < Director Rating,1.0008693270588027,1930,Marcel L'Herbier
41,5.8,5.766666666666668,Mysterious Crossing,1936,Movie Rating > Director Rating,1.0003259976470509,1930,Arthur Lubin
42,6.6,6.62,Ever Since Eve,1937,Movie Rating < Director Rating,1.0754684552923055,1930,Lloyd Bacon
43,6.8,6.6,The Citadel of Silence,1937,Movie Rating > Director Rating,1.0005433294117516,1930,Marcel L'Herbier
44,6.5,6.62,"Mary Stevens, M.D.",1933,Movie Rating < Director Rating,1.019288194117184,1930,Lloyd Bacon
45,6.4,6.0500000000000025,Society Smugglers,1939,Movie Rating > Director Rating,1.0010323258823282,1930,Joe May
46,6.8,6.65,Tanz auf dem Vulkan,1938,Movie Rating > Director Rating,1.0041836364704877,1930,Hans Steinhoff
47,6.7,6.1,Social Decay,1932,Movie Rating > Director Rating,1.004237969411663,1930,Stelios Tatasopoulos
48,5.6,6.133333333333333,On Your Toes,1939,Movie Rating < Director Rating,1.0100515941174055,1930,Ray Enright
49,7.3,6.9499999999999975,Topper,1937,Movie Rating > Director Rating,1.3664756882264952,1930,Norman Z. McLeod
50,6.5,6.133333333333333,We're in the Money,1935,Movie Rating > Director Rating,1.0210268482347893,1930,Ray Enright
51,6.6,6.3,Those Were the Days,1934,Movie Rating > Director Rating,1.0046726329410642,1930,Thomas Bentley
